Player,Goals Per Game,Assists Per Game,Shot Conversion Rate,Tackles Per Game,Interceptions Per Game
Kortney Hause,-0.32399086323451715,-0.5419202942372428,-0.2057079648309305,-0.18264349529629398,0.3511850275081402
Tyrone Mings,,-0.23432935188190912,-0.20846124442329253,-0.8955644206835287,0.11173089999307272
Matthew Cash,,-0.5419202942372428,-0.20846124442329253,-0.38806138905193793,1.7670876945537564
Douglas Luiz,-0.3214874705526771,-0.33685966600035366,-0.20667049346891073,-0.0882623008680253,0.13114609952132147
John McGinn,-0.31898407787083705,-0.23432935188190912,-0.2068511393985194,0.6319447040795352,0.00941541822126726
Henri Lansbury,1.2957042019160014,-0.5419202942372428,3.7684981667662782,-0.9569109409906441,-1.296163267804548
Jack Grealish,-0.315228988848077,0.17579190459186908,-0.2073249703058098,-0.8394021133601132,-0.43154989758397877
Marvelous Nakamba,3.2984183473880493,-0.5419202942372428,3.5936867640766277,0.7169452118404912,0.7234697804813409
Conor Hourihane,-0.317732381529917,-0.029268723645020034,-0.20509612492151671,-0.9162788301378794,-0.9066927883047065
TrÃ©zÃ©guet,-0.31022220348439683,-0.4393899801187982,-0.20546087563674417,-0.21198890868995757,-0.18989206311286316
Anwar El Ghazi,-0.31648068518899697,-0.13179903776346458,-0.20634333704455252,-0.8955644206835287,-0.8096469384888173
Jota,0.9201952996399925,-0.4393899801187982,1.3211385291111581,-1.2508165428256421,-0.9408261561709845
Jacob Ramsey,-0.3315010412800373,-0.5419202942372428,-0.20846124442329253,,
Wesley,-0.3014603290979566,-0.4393899801187982,-0.20216803392646507,-0.7402063497758988,-1.1152855919319624
Keinan Davis,2.0467220064680194,-0.5419202942372428,0.8172703684174567,-1.5556999430313874,-1.41869330629888
Ollie Watkins,-0.20633140718803436,-0.5419202942372428,0.09745871028359758,-1.6205687515858012,-1.41869330629888
Bertrand TraorÃ©,-0.3064671144616367,-0.4393899801187982,-0.19766406955128463,-0.5113121253053242,-1.1001152062136166
Mat Ryan,,-0.5419202942372428,-0.20846124442329253,,
Jason Steele,,-0.5419202942372428,-0.20846124442329253,,
Christian Walton,,-0.5419202942372428,-0.20846124442329253,,
Robert SÃ¡nchez,,-0.5419202942372428,-0.20846124442329253,,
Ben White,,-0.5419202942372428,-0.20846124442329253,-0.38806138905193793,0.1741971941274381
Tariq Lamptey,,-0.33685966600035366,-0.20846124442329253,-0.2760152651852232,1.9118959218652396
Lewis Dunk,,-0.029268723645020034,-0.20846124442329253,0.04111528183038956,1.0417536273953436
Adam Webster,,-0.4393899801187982,-0.20846124442329253,-0.38806138905193793,0.8982383306848555
Bernardo,,-0.4393899801187982,-0.20846124442329253,1.4264633391229165,0.3511850275081402
Dan Burn,,-0.5419202942372428,-0.20846124442329253,0.42427300898174475,0.4276115919225343
JoÃ«l Veltman,,-0.5419202942372428,-0.20846124442329253,,
Romaric Yapi,,-0.5419202942372428,-0.20846124442329253,,
Alex Cochrane,,-0.5419202942372428,-0.20846124442329253,,
Haydon Roberts,,-0.5419202942372428,-0.20846124442329253,,
Dale Stephens,-0.33024934493911734,-0.029268723645020034,-0.20827394649183933,1.6287688405489291,1.2683038004808687
Yves Bissouma,-0.3289976485981973,-0.5419202942372428,-0.20810133859422558,1.1051686847871658,0.32735974224535347
Alexis Mac Allister,0.7950256655479895,-0.5419202942372428,0.9715157237318551,-0.38806138905193793,-1.241705472918178
Pascal GroÃ,-0.315228988848077,0.9960344175394256,-0.20723125697653286,-0.2820392503393476,-0.7849626770970116
Adam Lallana,-0.3127255961662369,2.3289285010792047,-0.2079588211400148,0.38381190869654214,-0.08323965442631037
Solly March,-0.3289976485981973,0.17579190459186908,-0.2082638767105784,0.25498593053094737,-0.34522362122897005
Davy PrÃ¶pper,-0.3289976485981973,0.17579190459186908,-0.20823180445726236,0.6842200163525233,0.9865713493448603
Steven Alzate,2.2970612746520254,-0.5419202942372428,1.076402565345646,0.37491935918331076,-0.2809143774229385
Max Sanders,-0.3315010412800373,-0.5419202942372428,-0.20846124442329253,,
