Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Dalano Banton,0.10457516339869283,0.1388888888888889,0.1292517006802721,0.16000000000000003,0.07142857142857144,0.411,0.255,0.591,0.23294117647058823
Cat Barber,0.0,0.09259259259259259,0.06802721088435375,0.0,0.0,0.0,0.0,0.0,0.0776470588235294
Harrison Barnes,0.5359477124183006,0.2222222222222222,0.380952380952381,0.27999999999999997,0.07142857142857144,0.469,0.394,0.826,0.7670588235294118
Scottie Barnes,0.5,0.32407407407407407,0.5102040816326531,0.44000000000000006,0.25,0.492,0.301,0.735,0.8094117647058823
RJ Barrett,0.6535947712418301,0.2777777777777778,0.39455782312925175,0.24,0.07142857142857144,0.408,0.342,0.714,0.788235294117647
Will Barton,0.4803921568627451,0.3611111111111111,0.326530612244898,0.32000000000000006,0.14285714285714288,0.438,0.365,0.803,0.731764705882353
Paris Bass,0.09803921568627452,0.0,0.1360544217687075,0.2,0.0,0.333,0.0,1.0,0.058823529411764705
Charles Bassey,0.09803921568627452,0.027777777777777776,0.18367346938775514,0.08000000000000002,0.25,0.638,0.0,0.75,0.14823529411764705
Keita Bates-Diop,0.18627450980392157,0.06481481481481481,0.2653061224489796,0.2,0.07142857142857144,0.517,0.309,0.754,0.35764705882352943
Nicolas Batum,0.2712418300653595,0.15740740740740738,0.2925170068027211,0.4,0.25,0.463,0.4,0.658,0.5599999999999999
Kent Bazemore,0.11111111111111112,0.08333333333333333,0.12244897959183675,0.24,0.07142857142857144,0.324,0.363,0.765,0.3058823529411765
Darius Bazley,0.35294117647058826,0.12962962962962962,0.4285714285714286,0.32000000000000006,0.35714285714285715,0.422,0.297,0.688,0.6329411764705881
Bradley Beal,0.7581699346405228,0.611111111111111,0.3197278911564626,0.36000000000000004,0.14285714285714288,0.451,0.3,0.833,0.8235294117647058
Malik Beasley,0.39542483660130723,0.1388888888888889,0.19727891156462588,0.2,0.07142857142857144,0.391,0.377,0.817,0.5647058823529412
Jordan Bell,0.0,0.0,0.06802721088435375,0.4,0.0,0.0,0.0,0.0,0.023529411764705882
DeAndre' Bembry,0.16666666666666666,0.1111111111111111,0.19727891156462588,0.36000000000000004,0.14285714285714288,0.561,0.417,0.6,0.4070588235294118
DeAndre' Bembry,0.1895424836601307,0.12037037037037036,0.217687074829932,0.4,0.17857142857142858,0.568,0.417,0.6,0.4423529411764706
DeAndre' Bembry,0.026143790849673207,0.07407407407407407,0.09523809523809525,0.12,0.0,0.375,0.0,0.0,0.20235294117647057
D?vis Bert?ns,0.1830065359477124,0.05555555555555555,0.14285714285714288,0.12,0.07142857142857144,0.36,0.335,0.9,0.31529411764705884
D?vis Bert?ns,0.18627450980392157,0.046296296296296294,0.12244897959183675,0.12,0.07142857142857144,0.351,0.319,0.933,0.3223529411764706
D?vis Bert?ns,0.17320261437908496,0.06481481481481481,0.17006802721088438,0.12,0.10714285714285714,0.375,0.36,0.8,0.30352941176470594
Patrick Beverley,0.3006535947712418,0.4259259259259259,0.2789115646258503,0.48,0.32142857142857145,0.406,0.343,0.722,0.5741176470588235
Saddiq Bey,0.5261437908496733,0.25925925925925924,0.3673469387755103,0.36000000000000004,0.07142857142857144,0.396,0.346,0.827,0.7529411764705882
Khem Birch,0.14705882352941177,0.09259259259259259,0.2925170068027211,0.2,0.17857142857142858,0.485,0.0,0.746,0.4
Goga Bitadze,0.22875816993464054,0.10185185185185186,0.2380952380952381,0.16000000000000003,0.28571428571428575,0.52,0.288,0.681,0.31999999999999995
Bismack Biyombo,0.1895424836601307,0.05555555555555555,0.3129251700680272,0.12,0.25,0.593,0.0,0.535,0.30823529411764705
Nemanja Bjelica,0.19934640522875818,0.20370370370370372,0.2789115646258503,0.24,0.14285714285714288,0.468,0.362,0.728,0.35529411764705887
Eric Bledsoe,0.3235294117647059,0.3888888888888889,0.23129251700680273,0.52,0.14285714285714288,0.421,0.313,0.761,0.5694117647058823
Keljin Blevins,0.10130718954248367,0.05555555555555555,0.10204081632653061,0.16000000000000003,0.0,0.306,0.292,0.545,0.24235294117647058
Bogdan Bogdanovi?,0.4934640522875817,0.28703703703703703,0.272108843537415,0.44000000000000006,0.07142857142857144,0.431,0.368,0.843,0.6658823529411765
Bojan Bogdanovi?,0.5915032679738563,0.15740740740740738,0.2925170068027211,0.2,0.0,0.455,0.387,0.858,0.7035294117647058
Bol Bol,0.0784313725490196,0.037037037037037035,0.09523809523809525,0.04000000000000001,0.03571428571428572,0.556,0.25,0.4,0.11294117647058824
Leandro Bolmaro,0.0457516339869281,0.05555555555555555,0.0816326530612245,0.08000000000000002,0.0,0.315,0.278,0.846,0.1388235294117647
Isaac Bonga,0.026143790849673207,0.027777777777777776,0.034013605442176874,0.2,0.03571428571428572,0.231,0.25,0.625,0.08470588235294117
Devin Booker,0.8758169934640524,0.4444444444444444,0.34013605442176875,0.44000000000000006,0.14285714285714288,0.466,0.383,0.868,0.788235294117647
Brandon Boston Jr.,0.2189542483660131,0.09259259259259259,0.14965986394557826,0.2,0.10714285714285714,0.385,0.306,0.819,0.32705882352941174
Chris Boucher,0.30718954248366015,0.027777777777777776,0.4217687074829932,0.24,0.32142857142857145,0.464,0.297,0.777,0.4729411764705883
James Bouknight,0.1503267973856209,0.07407407407407407,0.11564625850340136,0.08000000000000002,0.0,0.348,0.347,0.871,0.20705882352941177
Avery Bradley,0.20915032679738566,0.07407407407407407,0.14965986394557826,0.36000000000000004,0.03571428571428572,0.423,0.39,0.889,0.5105882352941176
Tony Bradley,0.09803921568627452,0.046296296296296294,0.23129251700680273,0.08000000000000002,0.21428571428571427,0.585,0.0,0.655,0.21176470588235294
